"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Daniel Theis","BOS","PF,C","9.4","6.6","1.5","1.2","0.6",".554",".764","0.5","68","24.4","1.0"
"Dwight Powell","DAL","PF,C","9.3","5.9","1.5","0.6","0.8",".623",".708","0.3","65","24.7","0.9"
"Bryn Forbes","MIL","PG,SG","9.3","1.8","1.4","0.0","0.4",".425",".824","2.0","65","20.9","0.8"
"Josh Green","DAL","SG,SF","9.2","3.7","0.9","0.4","1.0",".434",".783","1.6","64","21.7","1.4"
"Gary Trent Jr.","POR","SG","9.2","2.0","1.1","0.3","0.9",".434",".778","1.9","66","24.0","0.7"
"Dewayne Dedmon","DET","C","9.2","7.4","1.1","1.1","0.9",".463",".814","0.9","61","23.9","1.4"
"Tyler Johnson","BKN","PG,SG","9.2","2.6","2.3","0.4","0.7",".412",".767","1.3","59","23.4","1.1"
"Dario Saric","PHO","PF,C ","9.1","5.3","1.5","0.2","0.5",".472",".836","1.2","66","21.6","1.2"
"Tristan Thompson","BOS","PF,C ","9.1","8.8","1.8","0.7","0.5",".524",".626","0.1","64","24.5","1.4"
"Draymond Green","GSW","PF,C ","9.0","6.9","6.8","0.9","1.5",".439",".738","0.9","66","31.9","2.5"
"Rondae Hollis-Jefferson","MIN","SF,PF","9.0","5.3","1.8","0.5","0.8",".451",".717","0.1","56","21.4","1.2"
"Langston Galloway","PHO","PG,SG","9.0","2.1","1.3","0.1","0.6",".422",".863","1.8","67","23.2","0.5"
"Keldon Johnson","SAS","SF","9.0","3.5","1.0","0.1","0.9",".509",".784","0.7","50","18.3","0.8"
"Joe Ingles","UTH","SG,SF","9.0","3.4","4.7","0.2","0.9",".449",".756","1.8","69","27.2","1.8"
"Josh Jackson","DET","SG,SF","8.9","3.2","1.5","0.5","0.7",".416",".658","0.7","54","18.4","1.5"
"Danuel House Jr.","HOU","SF,PF,SG","8.9","3.8","1.2","0.4","0.8",".438",".765","1.7","65","25.7","0.7"
"Doug McDermott","IND","SF,PF","8.9","2.1","1.0","0.1","0.2",".487",".826","1.5","65","19.5","0.6"
"Jeff Green","BKN","SF,PF,C","8.9","3.0","1.1","0.4","0.4",".463",".851","1.1","66","20.4","1.0"
"Ish Smith","WAS","PG","8.9","2.5","3.8","0.3","0.7",".456",".723","0.6","67","21.8","1.1"
"Patrick Williams","CHI","SF","8.8","3.7","1.5","0.5","1.0",".466",".750","1.1","67","22.9","0.9"
"Troy Brown Jr.","WAS","SG,SF","8.8","4.8","2.3","0.1","1.1",".441",".767","0.9","67","22.5","1.0"
"D.J. Augustin","MIL","PG","8.8","2.2","3.8","0.0","0.5",".453",".882","1.1","66","20.8","1.2"
"Josh Hart","NOR","SG,SF","8.8","5.1","1.5","0.4","0.9",".429",".726","1.6","66","24.2","1.1"
"Maxi Kleber","DAL","PF,C","8.7","5.2","1.1","1.1","0.4",".479",".824","1.5","69","25.0","0.8"
"Taj Gibson","NYK","PF,C","8.7","5.5","1.0","0.5","0.6",".570",".753","0.1","65","22.0","0.9"
"Shake Milton","PHI","PG,SG","8.7","2.2","2.3","0.2","0.5",".462",".787","1.3","62","20.0","1.1"
"Dennis Smith Jr.","NYK","PG,SG","8.6","2.2","3.3","0.3","0.9",".405",".617","0.8","40","20.3","1.9"
"Wayne Ellington","DET","SG,SF","8.6","2.2","1.2","0.1","0.7",".391",".813","2.3","57","21.9","0.6"
"Wesley Matthews","LAL","SG,SF","8.6","2.5","1.5","0.1","0.6",".410",".771","1.7","64","25.5","0.8"
"Thaddeus Young","CHI","SF,PF ","8.6","4.4","1.7","0.3","1.2",".474",".630","0.9","68","21.6","1.2"
